"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 09 02:46:06 EET 2021","Thu Dec 09 02:46:07 EET 2021","1336","","Splash","","","","Rouring through main signup button",""
"passed","Thu Dec 09 02:34:22 EET 2021","Thu Dec 09 02:34:39 EET 2021","17011","","Dashboard Posting","","","","Post a Quote post",""
"passed","Thu Dec 09 02:44:36 EET 2021","Thu Dec 09 02:44:37 EET 2021","1224","","Signup","","","","signup with empty data",""
"passed","Thu Dec 09 02:44:21 EET 2021","Thu Dec 09 02:44:24 EET 2021","2632","","Signup","","","","signup with empty email",""
"passed","Thu Dec 09 02:44:29 EET 2021","Thu Dec 09 02:44:31 EET 2021","1621","","Signup","","","","signup with empty email and password",""
"failed","Thu Dec 09 02:38:24 EET 2021","Thu Dec 09 02:39:26 EET 2021","61457","","Help center","","","","Checking static pages",""
"failed","Thu Dec 09 02:41:33 EET 2021","Thu Dec 09 02:42:04 EET 2021","30209","reset password","Reset With New Password","","","","Check Reset Password Email",""
"failed","Thu Dec 09 02:42:04 EET 2021","Thu Dec 09 02:42:04 EET 2021","49","reset password","Reset With New Password","","","","Reset Password With New Password",""
"failed","Thu Dec 09 02:36:14 EET 2021","Thu Dec 09 02:36:55 EET 2021","41812","","email verification","","","","Signup New Email To Be Verified",""
"passed","Thu Dec 09 02:44:39 EET 2021","Thu Dec 09 02:44:42 EET 2021","2545","","Signup","","","","signup invalid email",""
"failed","Thu Dec 09 02:35:14 EET 2021","Thu Dec 09 02:35:51 EET 2021","37116","","Dashboard Rebloging","","","","Reblog a Post",""
"passed","Thu Dec 09 02:34:51 EET 2021","Thu Dec 09 02:35:02 EET 2021","10184","","Dashboard Posting","","","","(Quote) Only Tags Doesn't Enable Post Button",""
"passed","Thu Dec 09 02:35:02 EET 2021","Thu Dec 09 02:35:11 EET 2021","9353","","Dashboard Posting","","","","Post a Photo post",""
"passed","Thu Dec 09 02:39:48 EET 2021","Thu Dec 09 02:39:51 EET 2021","3344","","Logging In With App Bar Button","","","","log in with empty email and password",""
"passed","Thu Dec 09 02:46:07 EET 2021","Thu Dec 09 02:46:10 EET 2021","2793","","Splash","","","","Rouring through App Bar signup button",""
"passed","Thu Dec 09 02:36:55 EET 2021","Thu Dec 09 02:37:35 EET 2021","39951","","email verification","","","","Check That Email Is Not Verified",""
"passed","Thu Dec 09 02:40:02 EET 2021","Thu Dec 09 02:40:06 EET 2021","3922","","Logging In With App Bar Button","","","","log in with not valid email valid password (3)",""
"passed","Thu Dec 09 02:44:27 EET 2021","Thu Dec 09 02:44:29 EET 2021","2501","","Signup","","","","signup with empty blog name",""
"passed","Thu Dec 09 02:39:37 EET 2021","Thu Dec 09 02:39:44 EET 2021","6817","","Logging In With App Bar Button","","","","log in with empty email",""
"failed","Thu Dec 09 02:43:32 EET 2021","Thu Dec 09 02:44:05 EET 2021","33565","reset password","Reset With Old Password","","","","Log In With Old Password Again",""
"passed","Thu Dec 09 02:33:56 EET 2021","Thu Dec 09 02:34:14 EET 2021","17910","","Dashboard Posting","","","","(Text) Disable Post Button After Clearing",""
"passed","Thu Dec 09 02:32:47 EET 2021","Thu Dec 09 02:32:53 EET 2021","5953","","Dashboard Posting","","","","Render Posts",""
"failed","Thu Dec 09 02:37:36 EET 2021","Thu Dec 09 02:37:38 EET 2021","2003","","email verification","","","","Verify email",""
"failed","Thu Dec 09 02:44:42 EET 2021","Thu Dec 09 02:45:14 EET 2021","32570","","Signup","","","","signup valid info but invalid age",""
"passed","Thu Dec 09 02:47:08 EET 2021","Thu Dec 09 02:47:11 EET 2021","2788","","Authorizations","","","","access blog without sign in",""
"failed","Thu Dec 09 02:43:01 EET 2021","Thu Dec 09 02:43:31 EET 2021","30295","reset password","Reset With Old Password","","","","Check Reset Password Email",""
"passed","Thu Dec 09 02:42:04 EET 2021","Thu Dec 09 02:42:08 EET 2021","4208","reset password","Reset With New Password","","","","Log In With Old Password Again",""
"passed","Thu Dec 09 02:46:02 EET 2021","Thu Dec 09 02:46:04 EET 2021","2633","","Splash","","","","Routing through App Bar login button",""
"passed","Thu Dec 09 02:40:16 EET 2021","Thu Dec 09 02:40:23 EET 2021","6167","","Logging In With App Bar Button","","","","successfully log in with command",""
"passed","Thu Dec 09 02:34:39 EET 2021","Thu Dec 09 02:34:51 EET 2021","11796","","Dashboard Posting","","","","(Quote) Disable Post Button After Clearing",""
"failed","Thu Dec 09 02:32:20 EET 2021","Thu Dec 09 02:32:27 EET 2021","6720","","Basic","","","","when reload the page the background changes",""
"passed","Thu Dec 09 02:40:06 EET 2021","Thu Dec 09 02:40:10 EET 2021","3943","","Logging In With App Bar Button","","","","log in with not registered email valid password",""
"failed","Thu Dec 09 02:45:14 EET 2021","Thu Dec 09 02:45:50 EET 2021","36036","","Signup","","","","signup valid info and age",""
"failed","Thu Dec 09 02:37:38 EET 2021","Thu Dec 09 02:38:14 EET 2021","36167","","email verification","","","","check email has been verified",""
"failed","Thu Dec 09 02:35:51 EET 2021","Thu Dec 09 02:35:56 EET 2021","4808","","Dashboard Rebloging","","","","Assert That Post Is Reblogged",""
"passed","Thu Dec 09 02:46:04 EET 2021","Thu Dec 09 02:46:06 EET 2021","1040","","Splash","","","","Routing through secondary login button",""
"passed","Thu Dec 09 02:34:14 EET 2021","Thu Dec 09 02:34:22 EET 2021","7813","","Dashboard Posting","","","","(Text) Only Tags Doesn't Enable Post Button",""
"passed","Thu Dec 09 02:44:24 EET 2021","Thu Dec 09 02:44:27 EET 2021","2826","","Signup","","","","signup with empty password",""
"failed","Thu Dec 09 02:47:11 EET 2021","Thu Dec 09 02:48:03 EET 2021","52209","","Authorizations","","","","sign in and access different blog",""
"failed","Thu Dec 09 02:42:04 EET 2021","Thu Dec 09 02:42:04 EET 2021","54","reset password","Reset With New Password","","","","Reset Password With Same Old Password",""
"passed","Thu Dec 09 02:44:05 EET 2021","Thu Dec 09 02:44:10 EET 2021","4618","reset password","Reset With Old Password","","","","Log In With New Password Again",""
"skipped","Thu Dec 09 02:40:23 EET 2021","Thu Dec 09 02:40:23 EET 2021","1","","Logging In With Body Button","","","","log in with empty email",""
"failed","Thu Dec 09 02:40:33 EET 2021","Thu Dec 09 02:41:07 EET 2021","34311","","reset password","","","","Log In With Old Password",""
"passed","Thu Dec 09 02:35:11 EET 2021","Thu Dec 09 02:35:14 EET 2021","2708","","Dashboard Rebloging","","","","Render Posts",""
"passed","Thu Dec 09 02:39:51 EET 2021","Thu Dec 09 02:39:55 EET 2021","4412","","Logging In With App Bar Button","","","","log in with valid email not valid password",""
"failed","Thu Dec 09 02:42:04 EET 2021","Thu Dec 09 02:42:04 EET 2021","42","reset password","Reset With New Password","","","","Reset Password Doesn't Match Confirmation",""
"passed","Thu Dec 09 02:39:59 EET 2021","Thu Dec 09 02:40:02 EET 2021","3231","","Logging In With App Bar Button","","","","log in with not valid email valid password (2)",""
"failed","Thu Dec 09 02:42:04 EET 2021","Thu Dec 09 02:42:04 EET 2021","48","reset password","Reset With New Password","","","","Reset Password With Weak New Password",""
"failed","Thu Dec 09 02:42:08 EET 2021","Thu Dec 09 02:42:42 EET 2021","33241","reset password","Reset With New Password","","","","Log In With New Password Again",""
"passed","Thu Dec 09 02:44:31 EET 2021","Thu Dec 09 02:44:33 EET 2021","2366","","Signup","","","","signup with empty email and blog name",""
"failed","Thu Dec 09 02:46:27 EET 2021","Thu Dec 09 02:46:58 EET 2021","31320","","User Authorizations","","","","Visit Dashboard",""
"failed","Thu Dec 09 02:41:08 EET 2021","Thu Dec 09 02:41:27 EET 2021","19613","","reset password","","","","Send Reset Password Email",""
"passed","Thu Dec 09 02:46:10 EET 2021","Thu Dec 09 02:46:12 EET 2021","1940","","Splash","","","","Rouring through secondary signup button",""
"passed","Thu Dec 09 02:44:34 EET 2021","Thu Dec 09 02:44:36 EET 2021","2168","","Signup","","","","signup with empty password and blog name",""
"passed","Thu Dec 09 02:39:55 EET 2021","Thu Dec 09 02:39:59 EET 2021","3189","","Logging In With App Bar Button","","","","log in with not valid email valid password (1)",""
"passed","Thu Dec 09 02:40:10 EET 2021","Thu Dec 09 02:40:16 EET 2021","6549","","Logging In With App Bar Button","","","","successfully log in",""
"passed","Thu Dec 09 02:46:01 EET 2021","Thu Dec 09 02:46:02 EET 2021","1206","","Splash","","","","Routing through main login button",""
"passed","Thu Dec 09 02:39:44 EET 2021","Thu Dec 09 02:39:48 EET 2021","3985","","Logging In With App Bar Button","","","","log in with empty password",""
"failed","Thu Dec 09 02:42:42 EET 2021","Thu Dec 09 02:43:01 EET 2021","19405","reset password","Reset With Old Password","","","","Send Reset Password Email",""
"passed","Thu Dec 09 02:32:53 EET 2021","Thu Dec 09 02:33:56 EET 2021","62861","","Dashboard Posting","","","","Post a text post",""
"passed","Thu Dec 09 02:44:37 EET 2021","Thu Dec 09 02:44:39 EET 2021","2197","","Signup","","","","signup taken email",""
"failed","Thu Dec 09 02:43:31 EET 2021","Thu Dec 09 02:43:32 EET 2021","103","reset password","Reset With Old Password","","","","Reset Password With Old Password",""
"passed","Thu Dec 09 02:41:27 EET 2021","Thu Dec 09 02:41:33 EET 2021","6219","","reset password","","","","Click Reset Button With No Email",""
